Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,feature_1,feature_2,feature_3,feature_4
H,299.8,309.2,1435,42.6,111,0,92698.16,33.68544600938967,159285,4728.6
L,299.8,309.3,1386,49.4,116,0,92728.14000000001,28.05668016194332,160776,5730.4
L,299.7,309.2,1401,54.1,118,0,92667.23999999999,25.89648798521257,165318,6383.8
M,299.6,309.0,1245,64.0,120,0,92576.40000000001,19.453125,149400,7680.0
L,299.7,309.1,1475,40.0,123,0,92637.27,36.875,181425,4920.0
L,299.7,309.1,1473,39.4,125,0,92637.27,37.38578680203046,184125,4925.0
H,299.7,309.2,1355,44.8,127,0,92667.23999999999,30.245535714285715,172085,5689.599999999999
H,299.7,309.2,1468,49.6,132,0,92667.23999999999,29.596774193548388,193776,6547.2
L,299.7,309.2,1645,30.8,137,0,92667.23999999999,53.40909090909091,225365,4219.6
L,299.7,309.1,1347,55.3,139,0,92637.27,24.358047016274867,187233,7686.7
L,299.7,309.1,1713,33.5,141,0,92637.27,51.134328358208954,241533,4723.5
M,299.6,309.1,1435,48.4,143,0,92606.36000000002,29.648760330578515,205205,6921.2
M,299.6,309.0,1736,26.1,146,0,92576.40000000001,66.51340996168582,253456,3810.6000000000004
L,299.6,309.0,1372,60.4,149,0,92576.40000000001,22.71523178807947,204428,8999.6
L,299.7,309.0,1605,33.0,151,0,92607.3,48.63636363636363,242355,4983.0
L,299.6,309.0,1413,48.5,153,0,92576.40000000001,29.1340206185567,216189,7420.5
M,299.7,309.0,1645,31.9,155,0,92607.3,51.56739811912226,254975,4944.5
M,299.7,309.0,1465,49.0,158,0,92607.3,29.897959183673468,231470,7742.0
M,299.6,308.9,1685,27.8,161,0,92546.44,60.611510791366904,271285,4475.8
L,299.5,308.8,1965,20.4,164,0,92485.6,96.32352941176471,322260,3345.6
H,299.4,308.6,1542,41.8,166,0,92394.84,36.88995215311005,255972,6938.799999999999
L,299.4,308.7,1681,30.8,171,0,92424.77999999998,54.577922077922075,287451,5266.8
L,299.5,308.7,1446,45.7,173,0,92455.65,31.641137855579867,250158,7906.1
L,299.4,308.6,1415,56.4,175,0,92394.84,25.088652482269506,247625,9870.0
L,299.5,308.6,1672,30.5,177,0,92425.70000000001,54.81967213114754,295944,5398.5
L,299.5,308.7,2549,13.0,179,1,92455.65,196.07692307692307,456271,2327.0
L,299.4,308.6,1492,40.5,181,0,92394.84,36.839506172839506,270052,7330.5
M,299.4,308.6,1455,42.7,183,0,92394.84,34.07494145199063,266265,7814.1
M,299.3,308.5,1422,43.1,186,0,92334.05,32.99303944315545,264492,8016.6
L,299.3,308.6,1403,50.6,189,0,92363.98000000001,27.727272727272727,265167,9563.4
L,299.3,308.6,1474,49.6,191,0,92363.98000000001,29.717741935483872,281534,9473.6
L,299.2,308.6,1381,50.0,193,0,92333.12000000001,27.62,266533,9650.0
L,299.2,308.5,1457,44.7,195,0,92303.2,32.59507829977628,284115,8716.5
L,299.2,308.4,1711,28.9,197,0,92273.27999999998,59.20415224913495,337067,5693.299999999999
L,299.2,308.4,1667,29.0,199,0,92273.27999999998,57.48275862068966,331733,5771.0
L,299.2,308.4,1465,35.0,201,0,92273.27999999998,41.857142857142854,294465,7035.0
M,299.3,308.4,1542,37.5,203,1,92304.12,41.12,313026,7612.5
M,299.3,308.4,1438,42.3,0,0,92304.12,33.995271867612296,0,0.0
L,299.3,308.4,1406,47.4,3,0,92304.12,29.662447257383967,4218,142.2
M,299.2,308.4,1396,48.5,5,0,92273.27999999998,28.783505154639176,6980,242.5
M,299.3,308.5,1304,60.6,8,0,92334.05,21.51815181518152,10432,484.8
L,299.2,308.5,1442,46.5,11,0,92303.2,31.010752688172044,15862,511.5
M,299.2,308.4,1396,48.7,13,0,92273.27999999998,28.6652977412731,18148,633.1
H,299.1,308.3,1424,43.4,16,0,92212.53000000001,32.8110599078341,22784,694.4
H,299.1,308.3,1451,42.8,21,0,92212.53000000001,33.901869158878505,30471,898.8
L,299.2,308.4,1386,54.1,26,0,92273.27999999998,25.619223659889094,36036,1406.6000000000001
L,299.1,308.3,1325,46.9,28,0,92212.53000000001,28.251599147121535,37100,1313.2
L,299.1,308.3,1559,33.7,30,0,92212.53000000001,46.26112759643917,46770,1011.0000000000001
L,299.1,308.3,1489,38.1,32,0,92212.53000000001,39.08136482939632,47648,1219.2
L,299.1,308.3,1892,25.2,34,0,92212.53000000001,75.07936507936508,64328,856.8
L,299.1,308.2,1319,60.3,36,0,92182.62000000001,21.87396351575456,47484,2170.7999999999997
L,299.1,308.3,1431,52.3,38,0,92212.53000000001,27.361376673040155,54378,1987.3999999999999
H,299.1,308.3,1521,36.5,40,0,92212.53000000001,41.67123287671233,60840,1460.0
M,299.1,308.2,1435,45.2,45,0,92182.62000000001,31.74778761061947,64575,2034.0000000000002
L,299.1,308.3,1533,42.4,48,0,92212.53000000001,36.155660377358494,73584,2035.1999999999998
M,299.2,308.4,1529,43.0,50,0,92273.27999999998,35.55813953488372,76450,2150.0
M,299.2,308.4,1415,43.5,53,0,92273.27999999998,32.52873563218391,74995,2305.5
M,299.2,308.4,1330,51.2,56,0,92273.27999999998,25.9765625,74480,2867.2000000000003
L,299.2,308.5,1381,60.6,59,0,92303.2,22.78877887788779,81479,3575.4
L,299.2,308.5,1370,52.4,61,0,92303.2,26.14503816793893,83570,3196.4
L,299.2,308.5,1438,46.6,63,0,92303.2,30.858369098712444,90594,2935.8
L,299.3,308.6,1314,48.2,65,0,92363.98000000001,27.261410788381742,85410,3133.0
L,299.3,308.6,1437,48.1,67,0,92363.98000000001,29.875259875259875,96279,3222.7000000000003
L,299.2,308.5,1821,26.1,69,0,92303.2,69.77011494252874,125649,1800.9
M,299.3,308.6,1448,52.1,71,0,92363.98000000001,27.79270633397313,102808,3699.1
L,299.3,308.5,1589,32.7,74,0,92334.05,48.593272171253815,117586,2419.8
L,299.3,308.6,1520,33.7,76,0,92363.98000000001,45.103857566765576,115520,2561.2000000000003
L,299.3,308.6,1605,37.0,78,0,92363.98000000001,43.37837837837838,125190,2886.0
L,299.3,308.7,1393,54.2,80,0,92393.91,25.70110701107011,111440,4336.0
H,299.3,308.7,1408,44.4,82,0,92393.91,31.71171171171171,115456,3640.7999999999997
M,299.3,308.7,1459,35.6,87,0,92393.91,40.98314606741573,126933,3097.2000000000003
L,299.4,308.7,1525,39.0,90,0,92424.77999999998,39.1025641025641,137250,3510.0
L,299.4,308.8,1390,57.0,92,0,92454.72,24.385964912280702,127880,5244.0
L,299.3,308.7,1536,38.9,94,0,92393.91,39.48586118251928,144384,3656.6
L,299.4,308.7,1459,47.6,96,0,92424.77999999998,30.65126050420168,140064,4569.6
L,299.2,308.5,1387,51.1,98,0,92303.2,27.142857142857142,135926,5007.8
L,299.2,308.5,1378,53.4,100,0,92303.2,25.805243445692884,137800,5340.0
L,299.4,308.7,1381,56.7,102,0,92424.77999999998,24.35626102292769,140862,5783.400000000001
M,299.4,308.7,1289,60.5,104,0,92424.77999999998,21.305785123966942,134056,6292.0
L,299.4,308.6,1746,26.8,107,0,92394.84,65.14925373134328,186822,2867.6
M,299.4,308.6,1541,39.1,109,0,92394.84,39.411764705882355,167969,4261.900000000001
L,299.4,308.7,1504,37.8,112,0,92424.77999999998,39.78835978835979,168448,4233.599999999999
M,299.5,308.7,1321,51.9,114,0,92455.65,25.452793834296724,150594,5916.599999999999
M,299.5,308.8,1886,20.9,117,0,92485.6,90.23923444976077,220662,2445.2999999999997
L,299.6,308.9,1422,53.2,120,0,92546.44,26.729323308270676,170640,6384.0
L,299.5,308.9,1520,38.3,122,0,92515.54999999999,39.68668407310705,185440,4672.599999999999
L,299.4,308.8,1627,32.6,124,0,92454.72,49.9079754601227,201748,4042.4
L,299.4,308.7,1512,37.2,126,0,92424.77999999998,40.64516129032258,190512,4687.200000000001
L,299.4,308.7,1553,42.7,128,0,92424.77999999998,36.37002341920375,198784,5465.6
L,299.3,308.7,1802,26.0,130,0,92393.91,69.3076923076923,234260,3380.0
L,299.3,308.6,1482,37.6,132,0,92363.98000000001,39.41489361702128,195624,4963.2
L,299.4,308.7,1446,62.9,134,1,92424.77999999998,22.988871224165344,193764,8428.6
L,299.3,308.6,1371,50.5,136,0,92363.98000000001,27.14851485148515,186456,6868.0
M,299.2,308.6,1586,35.7,138,0,92333.12000000001,44.42577030812325,218868,4926.6
L,299.2,308.5,1515,39.8,141,0,92303.2,38.06532663316583,213615,5611.799999999999
L,299.2,308.5,1374,53.6,143,0,92303.2,25.634328358208954,196482,7664.8
L,299.1,308.5,1455,39.8,145,0,92272.35,36.55778894472362,210975,5771.0
H,299.2,308.5,1342,47.5,147,0,92303.2,28.25263157894737,197274,6982.5
L,299.1,308.6,1260,57.8,152,0,92302.26000000001,21.79930795847751,191520,8785.6
H,299.0,308.5,1623,33.5,154,0,92241.5,48.44776119402985,249942,5159.0
L,299.1,308.5,1371,55.5,159,0,92272.35,24.7027027027027,217989,8824.5
L,299.1,308.6,1611,31.4,161,0,92302.26000000001,51.30573248407644,259371,5055.4
M,299.0,308.4,1535,47.5,163,0,92211.59999999999,32.31578947368421,250205,7742.5
M,299.1,308.6,1491,38.5,166,0,92302.26000000001,38.72727272727273,247506,6391.0
M,299.1,308.6,1441,36.2,169,0,92302.26000000001,39.80662983425414,243529,6117.8
M,299.1,308.8,1725,26.6,172,0,92362.08000000002,64.84962406015038,296700,4575.2
L,299.2,308.9,1368,47.2,175,0,92422.87999999999,28.983050847457626,239400,8260.0
L,299.2,308.9,1526,37.9,177,0,92422.87999999999,40.263852242744065,270102,6708.3
L,299.2,308.8,1542,39.2,179,0,92392.96,39.336734693877546,276018,7016.8
L,299.2,308.8,1605,31.1,181,0,92392.96,51.60771704180064,290505,5629.1
L,299.2,308.8,1405,51.4,183,0,92392.96,27.334630350194555,257115,9406.199999999999
M,299.2,308.8,1700,33.5,185,0,92392.96,50.74626865671642,314500,6197.5
H,299.2,308.8,1440,39.1,188,0,92392.96,36.828644501278774,270720,7350.8
M,299.2,308.8,1314,52.5,193,0,92392.96,25.02857142857143,253602,10132.5
L,299.2,308.7,1514,41.9,196,0,92363.04,36.13365155131265,296744,8212.4
M,299.2,308.7,1401,47.0,198,0,92363.04,29.80851063829787,277398,9306.0
L,299.3,308.8,1636,29.9,201,0,92423.84000000001,54.71571906354515,328836,6009.9
L,299.3,308.8,1603,33.9,203,0,92423.84000000001,47.28613569321534,325409,6881.7
M,299.4,308.7,1487,52.6,205,0,92424.77999999998,28.269961977186313,304835,10783.0
M,299.3,308.7,1420,50.3,208,0,92393.91,28.23061630218688,295360,10462.4
L,299.3,308.7,1579,36.3,211,0,92393.91,43.498622589531685,333169,7659.299999999999
L,299.3,308.7,1484,40.5,213,0,92393.91,36.641975308641975,316092,8626.5
M,299.3,308.7,1390,49.3,215,0,92393.91,28.194726166328604,298850,10599.5
L,299.3,308.6,1384,53.6,218,1,92363.98000000001,25.82089552238806,301712,11684.800000000001
L,299.2,308.5,1378,50.4,220,1,92303.2,27.341269841269842,303160,11088.0
L,299.2,308.5,1445,45.2,222,0,92303.2,31.969026548672563,320790,10034.400000000001
L,299.2,308.4,1445,43.5,224,0,92273.27999999998,33.2183908045977,323680,9744.0
L,299.2,308.4,1509,39.4,0,0,92273.27999999998,38.299492385786806,0,0.0
L,299.2,308.4,1434,46.8,2,0,92273.27999999998,30.641025641025642,2868,93.6
L,299.2,308.4,1877,23.9,4,0,92273.27999999998,78.5355648535565,7508,95.6
L,299.3,308.3,1651,28.0,6,0,92274.19,58.964285714285715,9906,168.0
L,299.2,308.2,1466,41.3,8,0,92213.43999999999,35.496368038740925,11728,330.4
L,299.1,308.1,1479,40.7,10,0,92152.71000000002,36.339066339066335,14790,407.0
L,299.1,308.2,1409,46.4,12,0,92182.62000000001,30.36637931034483,16908,556.8
M,299.2,308.2,1674,28.2,14,0,92213.43999999999,59.361702127659576,23436,394.8
L,299.1,308.3,1305,61.4,17,0,92212.53000000001,21.254071661237784,22185,1043.8
M,299.2,308.3,1755,26.4,19,0,92243.36,66.47727272727273,33345,501.59999999999997
L,299.2,308.4,1475,38.7,22,0,92273.27999999998,38.11369509043927,32450,851.4000000000001
L,299.2,308.4,1402,47.7,24,0,92273.27999999998,29.392033542976936,33648,1144.8000000000002
L,299.2,308.3,1410,43.0,26,0,92243.36,32.7906976744186,36660,1118.0
L,299.2,308.4,1436,41.8,28,0,92273.27999999998,34.354066985645936,40208,1170.3999999999999
M,299.3,308.5,1386,42.2,30,0,92334.05,32.843601895734594,41580,1266.0
L,299.3,308.6,1744,26.4,33,0,92363.98000000001,66.06060606060606,57552,871.1999999999999
L,299.2,308.4,1393,48.4,35,0,92273.27999999998,28.780991735537192,48755,1694.0
M,299.3,308.5,1422,45.4,37,0,92334.05,31.3215859030837,52614,1679.8
L,299.2,308.4,1841,22.8,40,0,92273.27999999998,80.74561403508771,73640,912.0
L,299.3,308.6,1433,37.7,42,0,92363.98000000001,38.01061007957559,60186,1583.4
M,299.3,308.5,1305,60.6,44,0,92334.05,21.534653465346533,57420,2666.4
H,299.3,308.6,1498,39.5,47,0,92363.98000000001,37.924050632911396,70406,1856.5
L,299.3,308.5,1772,26.1,52,0,92334.05,67.89272030651341,92144,1357.2
M,299.2,308.4,1381,42.5,54,0,92273.27999999998,32.49411764705882,74574,2295.0
L,299.3,308.5,1413,38.5,57,0,92334.05,36.701298701298704,80541,2194.5
H,299.2,308.4,1388,53.2,59,0,92273.27999999998,26.090225563909772,81892,3138.8
M,299.2,308.6,1631,35.4,64,0,92333.12000000001,46.07344632768362,104384,2265.6
H,299.3,308.6,1520,41.4,67,0,92363.98000000001,36.71497584541063,101840,2773.7999999999997
L,299.3,308.5,1510,45.4,72,0,92334.05,33.25991189427313,108720,3268.7999999999997
L,299.2,308.5,1366,49.7,74,0,92303.2,27.484909456740443,101084,3677.8
L,299.4,308.5,1845,22.9,76,0,92364.9,80.56768558951966,140220,1740.3999999999999
L,299.3,308.5,1485,44.7,78,0,92334.05,33.22147651006711,115830,3486.6000000000004
M,299.3,308.5,1496,39.4,80,0,92334.05,37.96954314720812,119680,3152.0
M,299.3,308.4,1468,42.2,83,0,92304.12,34.7867298578199,121844,3502.6000000000004
M,299.2,308.4,1856,22.7,86,0,92273.27999999998,81.76211453744493,159616,1952.2
L,299.2,308.4,1620,34.1,89,0,92273.27999999998,47.50733137829912,144180,3034.9
L,299.3,308.5,1409,44.8,91,0,92334.05,31.450892857142858,128219,4076.7999999999997
M,299.3,308.5,1404,49.4,93,0,92334.05,28.42105263157895,130572,4594.2
L,299.2,308.4,1350,51.3,96,0,92273.27999999998,26.315789473684212,129600,4924.799999999999
M,299.2,308.4,1538,38.0,98,0,92273.27999999998,40.473684210526315,150724,3724.0
M,299.2,308.4,1476,32.7,101,0,92273.27999999998,45.13761467889908,149076,3302.7000000000003
M,299.2,308.3,1364,51.8,104,0,92243.36,26.332046332046332,141856,5387.2
M,299.2,308.3,1582,45.5,107,0,92243.36,34.76923076923077,169274,4868.5
L,299.1,308.2,1348,56.1,110,0,92182.62000000001,24.028520499108733,148280,6171.0
H,299.1,308.2,1450,46.1,112,0,92182.62000000001,31.453362255965292,162400,5163.2
L,299.0,308.1,1242,60.9,117,0,92121.90000000001,20.39408866995074,145314,7125.3
L,299.1,308.2,1493,34.9,119,0,92182.62000000001,42.779369627507165,177667,4153.099999999999
L,299.1,308.3,1601,31.4,121,0,92212.53000000001,50.98726114649682,193721,3799.3999999999996
L,299.1,308.2,1568,33.3,123,0,92182.62000000001,47.08708708708709,192864,4095.8999999999996
M,299.1,308.3,1506,38.0,125,0,92212.53000000001,39.63157894736842,188250,4750.0
L,299.1,308.3,1524,34.1,128,0,92212.53000000001,44.692082111436946,195072,4364.8
L,299.1,308.4,1543,37.9,130,0,92242.44,40.712401055408975,200590,4927.0
M,299.2,308.5,1474,47.2,132,0,92303.2,31.22881355932203,194568,6230.400000000001
M,299.2,308.5,1526,37.3,135,0,92303.2,40.91152815013405,206010,5035.5
L,299.2,308.5,1867,27.0,138,0,92303.2,69.14814814814815,257646,3726.0
L,299.2,308.5,1487,41.2,140,0,92303.2,36.092233009708735,208180,5768.0
L,299.2,308.4,1580,32.6,142,0,92273.27999999998,48.466257668711656,224360,4629.2
L,299.2,308.5,1340,50.0,144,0,92303.2,26.8,192960,7200.0
L,299.2,308.5,1544,41.6,146,0,92303.2,37.11538461538461,225424,6073.6
L,299.2,308.5,1488,40.3,148,0,92303.2,36.92307692307693,220224,5964.4
M,299.2,308.5,1742,28.9,150,0,92303.2,60.27681660899654,261300,4335.0
M,299.1,308.5,1592,34.2,153,0,92272.35,46.549707602339176,243576,5232.6
L,299.2,308.6,1582,38.8,156,0,92333.12000000001,40.77319587628866,246792,6052.799999999999
L,299.2,308.5,1490,43.2,158,0,92303.2,34.49074074074074,235420,6825.6
M,299.2,308.5,1594,35.8,160,0,92303.2,44.52513966480447,255040,5728.0
H,299.2,308.6,1462,55.0,163,0,92333.12000000001,26.581818181818182,238306,8965.0
M,299.2,308.6,1367,47.6,168,0,92333.12000000001,28.718487394957982,229656,7996.8
L,299.2,308.7,1325,51.0,171,0,92363.04,25.980392156862745,226575,8721.0
H,299.2,308.7,1448,51.4,173,0,92363.04,28.171206225680933,250504,8892.199999999999
M,299.1,308.7,2008,20.3,178,0,92332.17,98.91625615763546,357424,3613.4
L,299.1,308.7,1498,38.9,181,0,92332.17,38.508997429305914,271138,7040.9
L,299.1,308.6,1437,41.6,183,0,92302.26000000001,34.543269230769226,262971,7612.8
M,299.1,308.6,1499,45.1,185,0,92302.26000000001,33.23725055432372,277315,8343.5
L,299.0,308.4,1356,52.6,188,0,92211.59999999999,25.779467680608363,254928,9888.800000000001
L,299.1,308.5,1539,46.8,190,0,92272.35,32.88461538461539,292410,8892.0
L,299.1,308.5,1689,32.1,192,0,92272.35,52.61682242990654,324288,6163.200000000001
L,299.0,308.5,1559,38.1,194,0,92241.5,40.91863517060367,302446,7391.400000000001
L,299.1,308.6,1408,46.7,196,0,92302.26000000001,30.14989293361884,275968,9153.2
L,299.0,308.5,1886,23.0,198,0,92241.5,82.0,373428,4554.0
L,299.1,308.5,1415,43.4,0,0,92272.35,32.603686635944705,0,0.0
M,299.1,308.5,1587,35.6,2,0,92272.35,44.578651685393254,3174,71.2
L,299.0,308.4,1571,38.6,5,0,92211.59999999999,40.69948186528497,7855,193.0
L,298.9,308.3,1576,36.6,7,0,92150.87,43.060109289617486,11032,256.2
L,298.9,308.3,1660,34.4,9,0,92150.87,48.25581395348837,14940,309.59999999999997
M,298.9,308.2,1328,49.2,11,0,92120.98,26.991869918699184,14608,541.2
H,298.8,308.2,1450,44.7,14,0,92090.16,32.438478747203575,20300,625.8000000000001
L,298.9,308.2,2384,15.0,19,0,92120.98,158.93333333333334,45296,285.0
L,298.8,308.2,1443,53.4,21,0,92090.16,27.022471910112362,30303,1121.3999999999999
M,298.9,308.2,2022,20.0,23,0,92120.98,101.1,46506,460.0
L,298.9,308.2,1828,23.8,26,0,92120.98,76.80672268907563,47528,618.8000000000001
L,298.8,308.1,1472,53.5,28,0,92060.28000000001,27.514018691588785,41216,1498.0
M,298.9,308.2,1372,63.6,30,1,92120.98,21.572327044025158,41160,1908.0
L,298.9,308.3,1855,23.8,33,0,92150.87,77.94117647058823,61215,785.4
M,299.0,308.3,1377,47.2,35,0,92181.7,29.173728813559322,48195,1652.0
L,298.9,308.3,1432,48.9,38,0,92150.87,29.284253578732105,54416,1858.2
M,298.9,308.2,1335,47.8,40,0,92120.98,27.92887029288703,53400,1912.0
M,298.9,308.2,1411,51.3,43,0,92120.98,27.50487329434698,60673,2205.9
L,298.9,308.2,1510,43.5,46,0,92120.98,34.71264367816092,69460,2001.0
L,299.0,308.3,1441,44.0,48,0,92181.7,32.75,69168,2112.0
M,299.0,308.2,1358,42.7,50,0,92151.8,31.80327868852459,67900,2135.0
L,298.9,308.2,1686,30.4,53,0,92120.98,55.46052631578948,89358,1611.1999999999998
H,299.0,308.2,1662,30.4,55,0,92151.8,54.67105263157895,91410,1672.0
L,299.1,308.3,1426,40.1,60,0,92212.53000000001,35.561097256857856,85560,2406.0
M,299.1,308.4,1330,53.6,62,0,92242.44,24.813432835820894,82460,3323.2000000000003
L,299.1,308.4,1693,31.6,65,0,92242.44,53.575949367088604,110045,2054.0
L,299.1,308.4,1426,47.9,67,0,92242.44,29.77035490605428,95542,3209.2999999999997
L,299.1,308.5,1676,31.0,69,0,92272.35,54.064516129032256,115644,2139.0
M,299.1,308.4,1332,51.7,71,0,92242.44,25.76402321083172,94572,3670.7000000000003
L,299.1,308.5,1647,35.0,74,0,92272.35,47.05714285714286,121878,2590.0
L,299.2,308.6,1267,68.2,76,1,92333.12000000001,18.577712609970675,96292,5183.2
H,299.2,308.7,1375,55.1,78,0,92363.04,24.9546279491833,107250,4297.8
L,299.3,308.6,1422,48.9,83,0,92363.98000000001,29.079754601226995,118026,4058.7
L,299.3,308.7,1408,48.7,85,0,92393.91,28.91170431211499,119680,4139.5
L,299.4,308.9,1440,42.5,87,0,92484.65999999999,33.88235294117647,125280,3697.5
L,299.3,308.8,1772,25.2,89,0,92423.84000000001,70.31746031746032,157708,2242.7999999999997
L,299.2,308.7,1492,37.8,91,0,92363.04,39.470899470899475,135772,3439.7999999999997
L,299.2,308.7,1650,30.5,93,0,92363.04,54.09836065573771,153450,2836.5
M,299.1,308.6,2329,14.6,95,0,92302.26000000001,159.5205479452055,221255,1387.0
L,299.0,308.6,1648,30.8,98,0,92271.40000000001,53.506493506493506,161504,3018.4
L,299.0,308.6,1653,31.7,100,0,92271.40000000001,52.14511041009464,165300,3170.0
L,299.0,308.6,1946,22.3,102,0,92271.40000000001,87.26457399103138,198492,2274.6
L,299.1,308.6,1555,36.6,104,0,92302.26000000001,42.486338797814206,161720,3806.4
L,299.0,308.6,1661,32.2,106,0,92271.40000000001,51.58385093167701,176066,3413.2000000000003
L,299.0,308.6,1434,45.9,108,0,92271.40000000001,31.24183006535948,154872,4957.2
L,299.0,308.6,1297,54.2,110,0,92271.40000000001,23.929889298892988,142670,5962.0
L,299.0,308.6,1466,46.4,112,0,92271.40000000001,31.594827586206897,164192,5196.8
M,298.9,308.6,1517,39.8,114,0,92240.54,38.11557788944724,172938,4537.2
L,298.9,308.5,1742,34.5,117,0,92210.65,50.492753623188406,203814,4036.5
L,298.9,308.5,1580,39.1,119,0,92210.65,40.409207161125316,188020,4652.900000000001
M,298.9,308.5,1534,42.9,121,0,92210.65,35.75757575757576,185614,5190.9
L,298.9,308.6,1481,40.7,124,0,92240.54,36.388206388206385,183644,5046.8
L,299.0,308.6,1429,37.7,126,0,92271.40000000001,37.90450928381963,180054,4750.200000000001
M,298.9,308.6,1574,33.5,128,0,92240.54,46.985074626865675,201472,4288.0
M,298.9,308.6,1524,40.4,131,0,92240.54,37.722772277227726,199644,5292.4
L,299.0,308.7,1507,37.5,134,0,92301.3,40.18666666666667,201938,5025.0
L,298.9,308.5,1467,44.7,136,0,92210.65,32.81879194630872,199512,6079.200000000001
L,298.9,308.4,1301,51.1,138,0,92180.75999999998,25.459882583170252,179538,7051.8
L,298.9,308.5,1429,55.1,140,0,92210.65,25.934664246823957,200060,7714.0
M,298.9,308.5,1555,37.6,142,0,92210.65,41.3563829787234,220810,5339.2
L,298.9,308.5,1503,40.6,145,0,92210.65,37.01970443349754,217935,5887.0
L,298.9,308.5,1459,43.1,147,0,92210.65,33.85150812064965,214473,6335.7
H,298.9,308.4,1449,42.4,149,0,92180.75999999998,34.174528301886795,215901,6317.599999999999
L,298.9,308.5,1387,57.3,154,0,92210.65,24.205933682373473,213598,8824.199999999999
M,298.9,308.5,1456,50.0,156,0,92210.65,29.12,227136,7800.0
L,299.0,308.5,1604,34.7,159,0,92241.5,46.22478386167147,255036,5517.3
L,299.0,308.6,1734,32.4,161,0,92271.40000000001,53.51851851851852,279174,5216.4
L,299.0,308.6,1378,47.8,163,0,92271.40000000001,28.82845188284519,224614,7791.4
L,298.9,308.7,1504,41.8,165,0,92270.43,35.98086124401914,248160,6896.999999999999
M,298.9,308.7,1402,49.8,167,0,92270.43,28.15261044176707,234134,8316.6
H,298.8,308.6,1524,37.7,170,0,92209.68000000001,40.42440318302387,259080,6409.000000000001
L,298.8,308.6,1593,35.5,175,0,92209.68000000001,44.87323943661972,278775,6212.5
M,298.9,308.7,1772,28.4,177,0,92270.43,62.3943661971831,313644,5026.8
H,298.9,308.6,1623,31.0,180,0,92240.54,52.354838709677416,292140,5580.0
L,298.9,308.7,1356,50.7,185,0,92270.43,26.745562130177515,250860,9379.5
H,298.9,308.7,1500,41.6,187,0,92270.43,36.05769230769231,280500,7779.2
H,299.1,308.8,1566,46.6,192,0,92362.08000000002,33.60515021459227,300672,8947.2
L,299.1,308.9,1445,43.4,197,0,92391.99,33.294930875576036,284665,8549.8
H,299.0,308.8,1382,58.5,199,0,92331.2,23.623931623931625,275018,11641.5
M,299.0,308.8,1418,45.7,204,0,92331.2,31.028446389496715,289272,9322.800000000001
L,299.1,308.8,1329,53.6,207,1,92362.08000000002,24.794776119402986,275103,11095.2
M,299.1,308.8,1491,41.0,209,0,92362.08000000002,36.36585365853659,311619,8569.0
M,299.2,308.9,1573,37.4,212,0,92422.87999999999,42.05882352941177,333476,7928.799999999999
M,299.2,308.9,1521,42.3,215,0,92422.87999999999,35.95744680851064,327015,9094.5
L,299.1,308.9,1467,47.2,218,0,92391.99,31.08050847457627,319806,10289.6
M,299.1,308.9,1325,48.4,220,0,92391.99,27.37603305785124,291500,10648.0
L,299.1,308.9,1617,32.3,223,0,92391.99,50.06191950464397,360591,7202.9
M,299.1,308.9,1476,42.7,225,0,92391.99,34.566744730679154,332100,9607.5
L,299.2,309.0,1515,48.9,228,1,92452.8,30.98159509202454,345420,11149.199999999999
L,299.2,309.0,1408,47.2,0,0,92452.8,29.83050847457627,0,0.0
L,299.2,309.1,1468,45.6,2,0,92482.72,32.19298245614035,2936,91.2
L,299.2,309.1,1387,48.7,4,0,92482.72,28.480492813141684,5548,194.8
M,299.2,309.1,1503,34.7,6,0,92482.72,43.31412103746398,9018,208.20000000000002
H,299.2,309.1,1410,47.1,9,0,92482.72,29.936305732484076,12690,423.90000000000003
L,299.0,308.9,1615,30.6,14,0,92361.09999999999,52.77777777777778,22610,428.40000000000003
L,299.0,308.9,1511,35.9,16,0,92361.09999999999,42.089136490250695,24176,574.4
L,299.1,309.0,1405,53.8,18,0,92421.90000000001,26.115241635687735,25290,968.4
M,299.0,308.9,1526,41.1,20,0,92361.09999999999,37.12895377128954,30520,822.0
L,298.9,308.8,1530,38.3,23,0,92300.31999999999,39.94778067885118,35190,880.9
L,299.0,308.7,1583,32.5,25,0,92301.3,48.707692307692305,39575,812.5
L,298.9,308.6,2069,18.7,27,0,92240.54,110.64171122994652,55863,504.9
L,298.8,308.5,1490,35.0,29,0,92179.8,42.57142857142857,43210,1015.0
L,298.8,308.5,1736,29.0,31,0,92179.8,59.86206896551724,53816,899.0
L,298.8,308.5,1395,44.4,33,0,92179.8,31.41891891891892,46035,1465.2
M,298.9,308.6,1425,49.6,35,0,92240.54,28.72983870967742,49875,1736.0
L,298.8,308.6,1631,32.4,38,0,92209.68000000001,50.339506172839506,61978,1231.2
L,298.8,308.6,1535,41.2,40,0,92209.68000000001,37.25728155339806,61400,1648.0
L,298.8,308.6,1584,34.4,42,0,92209.68000000001,46.04651162790698,66528,1444.8
M,298.8,308.7,1543,38.2,44,0,92239.56,40.39267015706806,67892,1680.8000000000002
L,298.8,308.7,1635,35.2,47,0,92239.56,46.44886363636363,76845,1654.4
M,298.8,308.7,1446,45.5,49,0,92239.56,31.78021978021978,70854,2229.5
